orcid_id,code,country
0000-0001-5003-5509,MSU,RU
0000-0001-5003-9104,MIT,US
0000-0001-5003-9278,MIT,US
0000-0001-5011-2922,MIT,SE
0000-0001-5013-0442,MIT,US
0000-0001-5013-7441,SPbSU,RU
0000-0001-5021-9471,MSU,RU
0000-0001-5021-9471,MSU,RU
0000-0001-5026-802X,MIT,US
0000-0001-5027-0250,MIT,US
0000-0001-5027-7225,MSU,RU
0000-0001-5033-5069,MIT,DE
0000-0001-5035-3531,MIT,US
0000-0001-5040-9937,MSU,RU
0000-0001-5040-9937,MSU,RU
0000-0001-5049-7594,MIT,US
0000-0001-5054-0898,MIT,US
0000-0001-5057-3905,MIT,US
0000-0001-5061-4308,MSU,RU
0000-0001-5065-9522,SPbSU,US
0000-0001-5067-1193,MIT,US
0000-0001-5069-3368,MSU,RU
0000-0001-5069-3368,MSU,RU
0000-0001-5080-3483,MIPT,RU
0000-0001-5081-879X,MSU,RU
0000-0001-5088-6098,MIT,US
0000-0001-5090-3011,SPbSU,RU
0000-0001-5100-152X,MSU,RU
0000-0001-5100-152X,MSU,RU
0000-0001-5101-4371,MIT,US
0000-0001-5101-7361,MIPT,US
0000-0001-5102-4609,MSU,RU
0000-0001-5102-9100,MIT,US
0000-0001-5102-9100,MIT,US
0000-0001-5106-4723,SPbSU,RU
0000-0001-5107-0293,SPbSU,RU
0000-0001-5107-0293,SPbSU,RU
0000-0001-5108-4118,MIT,US
0000-0001-5111-4655,MIT,US
0000-0001-5112-7878,MSU,RU
0000-0001-5113-9764,SPbSU,RU
0000-0001-5114-2453,SPbSU,RU
0000-0001-5114-3472,MSU,RU
0000-0001-5119-8510,SPbSU,RU
0000-0001-5123-1077,MIT,US
0000-0001-5125-1051,MIT,US
0000-0001-5125-1414,MIT,US
0000-0001-5129-9880,MSU,GB
0000-0001-5129-9880,MSU,GB
0000-0001-5130-781X,MIT,US
0000-0001-5132-6850,MSU,RU
0000-0001-5134-3685,SPbSU,DE
0000-0001-5135-8588,MIT,US
0000-0001-5139-225X,MIT,US
0000-0001-5140-8231,MIT,US
0000-0001-5141-5140,MSU,RU
0000-0001-5141-5140,MSU,RU
0000-0001-5144-4216,MIPT,RU
0000-0001-5149-9110,MIT,US
0000-0001-5150-9817,MIT,US
0000-0001-5151-0543,MIT,US
0000-0001-5152-8495,MIT,US
0000-0001-5158-9511,MSU,US
0000-0001-5158-9511,MSU,US
0000-0001-5176-7496,MIT,US
0000-0001-5177-2578,MSU,RU
0000-0001-5177-2578,MSU,RU
0000-0001-5183-3641,MIT,US
0000-0001-5186-7729,SPbSU,RU
0000-0001-5188-7893,SPbSU,RU
0000-0001-5190-8332,MSU,RU
0000-0001-5190-8332,MSU,RU
0000-0001-5192-0390,SPbSU,RU
0000-0001-5195-9666,MSU,RU
0000-0001-5196-529X,MIT,ES
0000-0001-5198-874X,MSU,RU
0000-0001-5201-3207,MSU,RU
0000-0001-5203-0787,MSU,RU
0000-0001-5206-9497,MIT,US
0000-0001-5207-0949,MSU,RU
0000-0001-5208-0848,MSU,RU
0000-0001-5211-5086,SPbSU,RU
0000-0001-5216-9017,MIT,US
0000-0001-5219-7616,MIT,US
0000-0001-5221-9424,MSU,RU
0000-0001-5221-9424,MSU,RU
0000-0001-5224-622X,MIT,DK
0000-0001-5226-0101,MIT,US
0000-0001-5226-0101,MIT,US
0000-0001-5226-9552,SPbSU,RU
0000-0001-5227-1361,MSU,RU
0000-0001-5229-4192,MIT,US
0000-0001-5229-6104,SPbSU,RU
0000-0001-5230-3626,MIT,US
0000-0001-5232-1461,SPbSU,RU
0000-0001-5233-4908,MSU,RU
0000-0001-5235-2356,MSU,RU
0000-0001-5237-5080,MSU,RU
0000-0001-5237-5080,MSU,RU
0000-0001-5237-562X,MIT,US
0000-0001-5238-960X,MIT,US
0000-0001-5239-9787,MSU,RU
0000-0001-5245-0538,MIT,US
0000-0001-5247-2219,MSU,RU
0000-0001-5252-2861,MSU,PT
0000-0001-5252-2861,MSU,PT
0000-0001-5252-6870,MSU,RU
0000-0001-5252-9537,MIT,US
0000-0001-5258-1597,SPbSU,RU
0000-0001-5264-3540,MIT,US
0000-0001-5266-3795,MIT,KR
0000-0001-5268-8423,MIT,US
0000-0001-5269-0988,MSU,RU
0000-0001-5269-388X,MIT,GB
0000-0001-5272-8077,MSU,RU
0000-0001-5274-3840,MIT,US
0000-0001-5283-4144,SPbSU,RU
0000-0001-5284-3374,SPbSU,RU
0000-0001-5286-4060,MIT,US
0000-0001-5287-4285,MSU,RU
0000-0001-5289-8316,MSU,RU
0000-0001-5294-970X,MSU,RU
0000-0001-5295-1746,MIT,US
0000-0001-5297-3873,MIPT,RU
0000-0001-5298-3422,MIT,US
0000-0001-5299-3938,MSU,RU
0000-0001-5302-2463,MIT,US
0000-0001-5308-025X,MIPT,US
0000-0001-5317-1469,MSU,US
0000-0001-5319-3860,MIT,US
0000-0001-5321-3825,SPbSU,RU
0000-0001-5322-3580,MIPT,RU
0000-0001-5324-7814,MIT,GB
0000-0001-5325-0079,MIT,MX
0000-0001-5325-3800,MSU,UA
0000-0001-5325-3800,MSU,UA
0000-0001-5325-8863,MIT,DK
0000-0001-5326-477X,SPbSU,RU
0000-0001-5327-6893,MIT,US
0000-0001-5328-8763,MIT,US
0000-0001-5328-8763,MIT,US
0000-0001-5334-1253,MSU,KZ
0000-0001-5337-2578,MIT,HK
0000-0001-5337-2578,MIT,HK
0000-0001-5348-8415,MSU,RU
0000-0001-5352-7859,MSU,RU
0000-0001-5353-1655,MIT,US
0000-0001-5354-6152,MSU,US
0000-0001-5354-6152,MSU,US
0000-0001-5357-5770,MIT,US
0000-0001-5366-8360,MSU,GB
0000-0001-5384-0490,MSU,RU
0000-0001-5393-0285,MSU,RU
0000-0001-5393-0285,MSU,RU
0000-0001-5396-3386,MSU,RU
0000-0001-5397-6857,MSU,RU
0000-0001-5397-6857,MSU,RU
0000-0001-5398-5526,SPbSU,RU
0000-0001-5404-4090,MIT,US
0000-0001-5404-8104,MIT,US
0000-0001-5405-6729,MIPT,US
0000-0001-5405-6729,MIPT,US
0000-0001-5408-2070,MSU,RU
0000-0001-5413-9612,MIPT,RU
0000-0001-5416-106X,MIT,US
0000-0001-5417-9972,MSU,RU
0000-0001-5417-9972,MSU,RU
0000-0001-5422-4366,MIT,US
0000-0001-5422-4366,MIT,US
0000-0001-5429-2836,MIT,US
0000-0001-5434-0535,MIT,AU
0000-0001-5436-3016,MSU,RU
0000-0001-5437-0857,MIT,US
0000-0001-5442-8633,MSU,RU
0000-0001-5442-8633,MSU,RU
0000-0001-5449-4980,MSU,RU
0000-0001-5449-4980,MSU,RU
0000-0001-5449-4980,MSU,RU
0000-0001-5449-4980,MSU,RU
0000-0001-5449-4980,MSU,RU
0000-0001-5449-4980,MSU,RU
0000-0001-5449-4980,MSU,RU
0000-0001-5454-2452,MIT,US
0000-0001-5458-154X,MIT,US
0000-0001-5458-154X,MIT,US
0000-0001-5458-2673,SPbSU,RU
0000-0001-5459-6493,MIT,CA
0000-0001-5471-9588,MIPT,RU
0000-0001-5472-3771,MIT,US
0000-0001-5472-7481,MIPT,RU
0000-0001-5476-7379,MIT,US
0000-0001-5489-911X,SPbSU,RU
0000-0001-5496-6589,MSU,RU
0000-0001-5496-6589,MSU,RU
0000-0001-5498-076X,SPbSU,RU
0000-0001-5500-404X,MIT,US
0000-0001-5500-5720,MIT,CL
0000-0001-5502-7276,MIT,US
0000-0001-5506-6451,MIT,US
0000-0001-5509-1622,MIT,ES
0000-0001-5509-2588,MIT,US
0000-0001-5509-2588,MIT,US
0000-0001-5510-2176,SPbSU,RU
0000-0001-5511-1750,MIT,US
0000-0001-5512-1756,MSU,CH
0000-0001-5512-771X,SPbSU,RU
0000-0001-5519-8622,MSU,RU
